date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:53:09	11692/11692	---M--	200	added ('OK')	image/jpeg	etag:%229144ad823b0eab3c106d0a11bece9350%22	http://arco.bitballoon.com/img/clients/1.jpg	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/img/clients/1.jpg	(from http://arco.bitballoon.com/main.html)
12:53:11	14490/14490	---M--	200	added ('OK')	image/jpeg	etag:%2289200a81f6a51eb10f0675debef9b6bd%22	http://arco.bitballoon.com/img/clients/2.jpg	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/img/clients/2.jpg	(from http://arco.bitballoon.com/main.html)
12:53:13	14286/14286	---M--	200	added ('OK')	image/jpeg	etag:%2217c7a2c12eb4800a0d69ec5fa389d39f%22	http://arco.bitballoon.com/img/clients/3.jpg	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/img/clients/3.jpg	(from http://arco.bitballoon.com/main.html)
12:53:13	57370/57370	---M--	200	added ('OK')	image/jpeg	etag:%22715f0631f503e51d1e9ece5267f8d1c4%22	http://arco.bitballoon.com/img/bg4.jpg	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/img/bg4.jpg	(from http://arco.bitballoon.com/main.html)
12:53:25	359204/359204	---M--	200	added ('OK')	image/jpeg	etag:%22d77a1711890bd7ea7a96f7c9647b3e4d%22	http://arco.bitballoon.com/img/portfolio/7.jpg	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/img/portfolio/7.jpg	(from http://arco.bitballoon.com/main.html)
12:54:14	401741/401741	---M--	200	added ('OK')	image/jpeg	etag:%22dcf53deed62c498bd962c8ae647960bd%22	http://arco.bitballoon.com/img/blog/1.jpg	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/img/blog/1.jpg	(from http://arco.bitballoon.com/main.html)
12:54:16	3339/3339	---M--	200	added ('OK')	image/png	etag:%2206b7a511bf5242e5b731f2dc5c974d62%22	http://arco.bitballoon.com/img/clients-logo/1.png	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/img/clients-logo/1.png	(from http://arco.bitballoon.com/main.html)
12:54:17	452920/452920	---M--	200	added ('OK')	image/jpeg	etag:%22cb0c1d32a703834ca9b19d68aca2f791%22	http://arco.bitballoon.com/img/blog/3.jpg	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/img/blog/3.jpg	(from http://arco.bitballoon.com/main.html)
12:54:19	7083/7083	---M-Z	200	added ('OK')	application/javascript	etag:%2287817ccd8b2e0a0bee5d0f748e17ce2d-df%22	http://arco.bitballoon.com/js/jquery-migrate-3.0.0.min.js	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/js/jquery-migrate-3.0.0.min.js	(from http://arco.bitballoon.com/main.html)
12:54:20	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%22d13ab345bc56f48a2579328a925caa2d-df%22	http://arco.bitballoon.com/js/popper.min.js	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/js/popper.min.js	(from http://arco.bitballoon.com/main.html)
12:54:22	48944/48944	---M-Z	200	added ('OK')	application/javascript	etag:%22c016f0f3655f621cec21e5dfed124d6c-df%22	http://arco.bitballoon.com/js/bootstrap.min.js	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/js/bootstrap.min.js	(from http://arco.bitballoon.com/main.html)
12:54:22	1418/1418	---M-Z	200	added ('OK')	application/javascript	etag:%22a373559b1e5827a1a3f44efd82764729-df%22	http://arco.bitballoon.com/js/scrollIt.min.js	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/js/scrollIt.min.js	(from http://arco.bitballoon.com/main.html)
12:54:23	9028/9028	---M-Z	200	added ('OK')	application/javascript	etag:%22101ea865b0a3d0d584cae971c7d16ff1-df%22	http://arco.bitballoon.com/js/jquery.waypoints.min.js	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/js/jquery.waypoints.min.js	(from http://arco.bitballoon.com/main.html)
12:54:24	1115/1115	---M-Z	200	added ('OK')	application/javascript	etag:%22249e3d9db3802ded9dd8315e622ab72c-df%22	http://arco.bitballoon.com/js/jquery.counterup.min.js	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/js/jquery.counterup.min.js	(from http://arco.bitballoon.com/main.html)
12:54:27	42854/42854	---M-Z	200	added ('OK')	application/javascript	etag:%22f6d2e4345775dbceaa2ac6dfb3f3aba7-df%22	http://arco.bitballoon.com/js/owl.carousel.min.js	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/js/owl.carousel.min.js	(from http://arco.bitballoon.com/main.html)
12:54:30	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:%22de7e372104543a7f474f79429d52f241-df%22	http://arco.bitballoon.com/js/jquery.magnific-popup.min.js	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/js/jquery.magnific-popup.min.js	(from http://arco.bitballoon.com/main.html)
12:54:32	12597/12597	---M-Z	200	added ('OK')	application/javascript	etag:%228d856d04b0f859e53a1d7f4f1345beda-df%22	http://arco.bitballoon.com/js/jquery.stellar.min.js	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/js/jquery.stellar.min.js	(from http://arco.bitballoon.com/main.html)
12:54:35	86341/86341	---M-Z	200	added ('OK')	application/javascript	etag:%22acfd786d9b3aae45064acec45b38ebfe-df%22	http://arco.bitballoon.com/js/jquery-3.0.0.min.js	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/js/jquery-3.0.0.min.js	(from http://arco.bitballoon.com/main.html)
12:54:36	40863/40863	---M-Z	200	added ('OK')	application/javascript	etag:%22cb6c8012bf7caf81a7b2c0519c8e50bd-df%22	http://arco.bitballoon.com/js/isotope.pkgd.min.js	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/js/isotope.pkgd.min.js	(from http://arco.bitballoon.com/main.html)
12:54:36	2885/2885	---M-Z	200	added ('OK')	application/javascript	etag:%229f38286cc5f877ab6313de4e7f96f836-df%22	http://arco.bitballoon.com/js/YouTubePopUp.jquery.js	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/js/YouTubePopUp.jquery.js	(from http://arco.bitballoon.com/main.html)
12:54:36	481218/481218	---M--	200	added ('OK')	image/png	etag:%2245dbefd4b37fe60575ea1b26c76d4187%22	http://arco.bitballoon.com/img/pattern.png	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/img/pattern.png	(from http://arco.bitballoon.com/main.html)
12:54:37	4029/4029	---M-Z	200	added ('OK')	application/javascript	etag:%2285d857ef98915aab573ad6b7a769ebac-df%22	http://arco.bitballoon.com/js/map.js	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/js/map.js	(from http://arco.bitballoon.com/main.html)
12:54:37	11730/11730	---M-Z	200	added ('OK')	application/javascript	etag:%2240d565a6eaa710c881eb6883fbbed444-df%22	http://arco.bitballoon.com/js/validator.js	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/js/validator.js	(from http://arco.bitballoon.com/main.html)
12:54:38	6891/6891	---M-Z	200	added ('OK')	application/javascript	etag:%224d3676f18e00a1cf48158f635db0bcd6-df%22	http://arco.bitballoon.com/js/scripts.js	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/js/scripts.js	(from http://arco.bitballoon.com/main.html)
12:54:41	16952/16952	---M-Z	200	added ('OK')	text/css	etag:%22b919cbcdbad3f0170d564915ff5159fe-df%22	http://arco.bitballoon.com/css/plugins/animate.min.css	C:/Users/User/Desktop/ArCo/Arco/arco.bitballoon.com/css/plugins/animate.min.css	(from http://arco.bitballoon.com/css/plugins.css)
